title	description	topic	signum
The Marvels: Superhero movie bombs with lowest MCU box office debut	"""This opening is an unprecedented Marvel box office collapse,"" says box office analyst David A Gross."		
The Beatles top singles chart 60 years after their first hit	"Sir Paul McCartney says their final song Now and Then reaching the top spot has ""blown my socks off!"""		
Grammy Awards 2024: The main nominees	Taylor Swift, Olivia Rodrigo, Miley Cyrus and SZA are among the nominees at the 2024 ceremony.		
Grammy Awards 2023: Taylor Swift breaks nomination record	Swift has become the first songwriter to receive seven song of the year nominations.		
TfW travel: New rail line for major Cardiff events axed	Public money has been lost on the project, which would have improved travel to major Cardiff events.		
Chiefs & Dolphins set for 'electric' Germany clash	The NFL returns to Germany with a mouth-watering match-up between defending champions the Kansas City Chiefs and the in-form Miami Dolphins.		
Taylor Swift’s 1989 re-recording scores record-breaking UK chart debut	A re-recorded version of Swift’s 2014 pop opus more than doubles the first-week sales of the original.		
Jung Kook's Golden: BTS star crowned 'pop king' by critics thanks to solo album	"Critics say the star's solo debut is ""pop bliss"" and he has ""punched his ticket to pop superstardom""."		
Singer Weyes Blood: I feel like I've lived a million lives	"The ethereal singer-songwriter and ""pagan time travel tourist"" on making music for a changing world."		
Taylor Swift and Barbie take over this Halloween	From Utah to Massachusetts, pop culture references have turned this year’s spooky season pink.		
FNaF movie: Halloween box office records broken by Fazbear gang	Critics weren't keen on the game adaptation, but fans helped the film rack up monster ticket sales.		
Taylor Swift not buying Notts County, football club confirms	"The owners of the League Two outfit say they are sorry to ""disappoint the Swifties in our fanbase""."		
Taylor Swift: Artist paints the star on giant Halloween pumpkin	It took Ohio-based Jeanette Paras 10 hours to create the artwork.		
Taylor Swift's 1989: Why has she re-recorded it and what's new on Taylor's Version?	How does Taylor's Version of the hit album compare to the original, and why has she re-recorded it?		
Glastonbury Festival: Emily Eavis lines up 'really big' US artist for 2024	Organiser Emily Eavis says one 2024 headliner is almost in the bag, and she'd love Madonna to play.		
Johnny Cash's 'Blank Space' Is Why AI Can't Have Nice Things	With covers of Taylor Swift and “Barbie Girl” going viral, Johnny Cash is suddenly the voice of AI. The choice is telling.		
Taylor Swift and Beyoncé Are Resurrecting the American Movie Theater	This week, as “Swifties of the Flower Moon” took over social media, Swift trounced Martin Scorsese at the US box office. Beyoncé’s tour film is coming later this fall. Cinema is back, baby!		
Fan dies at Taylor Swift Eras Tour concert in Brazil with record heat	A 23-year-old woman succumbed to heat as Taylor Swift brought her Eras Tour to a concert venue in Rio de Janeiro.		
The 31 best things to do in D.C. this weekend and next week	Get in the holiday spirit with holiday markets, light displays and Scrooge; celebrate Community Day at Planet Word; or browse works by hundreds of artists.		
Fake celebrity statements and videos on Israel-Hamas war — and other news literacy lessons	From the non-partisan News Literacy Project.		
Sorry, Jane Austen, but Mr. Darcy is actually the worst	According to English professor Rachel Feder, the romantic hero of ‘Pride and Prejudice’ has set us up to love men who treat us like dirt.		
‘Fingernails’: A form of cinematic torture	Jessie Buckley, Jeremy Allen White and Riz Ahmed star in a silly, sci-fi story of a love triangle.		
12 can’t-miss concerts in the D.C. area this November	Ice Spice and Doja Cat at Capital One Arena; Benny the Butcher at Howard Theatre; Liz Phair at the Anthem.		
Third quarter GDP shows U.S. economy grew at a blockbuster 4.9 percent pace	Third quarter GDP shows U.S. economy grew at a blockbuster 4.9 percent pacewashingtonpost.com		
Hunger Games’ director feels bad about his 45-minute song pitch for Olivia Rodrigo	The Ballad of Songbirds & Snakes director Francis Lawrence explains his 45-minute rant to Olivia Rodrigo. “Can’t Catch Me Now” is streaming now.		
Concert movies are the future of pop music fandom	Taylor Swift, BTS, and Beyoncé’s concert movies level the field for fans. Once considered secondary to live shows, filmed concerts are now essential to fandom.		
Taylor Swift was the soundtrack to my Killers of the Flower Moon screening	Did you hear Taylor Swift: The Eras Tour while trying to watch Martin Scorsese’s latest movie? You aren’t alone.		
Taylor Swift’s Rio Tour Marred by Deaths, Muggings and a Dangerous Heat Wave	RIO DE JANEIRO — The deaths of two people, muggings and a dangerous heat wave left legions of Taylor Swift’s Brazilian fans angry and disappointed in the three-day Rio de Janeiro leg of the pop superstar’s Eras Tour, which concludes Monday night.		
Joe Biden Makes Bizarre Joke at Turkey Pardoning, Confuses Taylor Swift and Britney Spears	President Joe Biden made a bizarre, confusing joke during this year's annual turkey pardoning ceremony at the White House, seemingly referencing Taylor Swift's sweltering concert in Brazil, which tragically resulted in the death of one fan, but also mentionin…		
Rio de Janeiro Officials Project Taylor Swift Welcome onto Famed 'Christ the Redeemer' Statue	Officials in Rio de Janeiro were so excited about pop star Taylor Swift's imminent concerts in Brazil that they electronically projected a Swifty-themed robe onto its famed Christ the Redeemer statue that overlooks the glittering city.		
Taylor Swift Fan Dies at Rio Concert as Fans Complain About High Temperatures and Lack of Water	RIO DE JANEIRO (AP) — A 23-year-old Taylor Swift fan died at the singer’s Eras Tour concert in Rio de Janeiro Friday night, according to a statement from the show’s organizers in Brazil.		
Taylor Swift Promoted Left-Wing Voter Registration Organization While Remaining Silent on Hamas' Massacre of Israelis	Mega pop star Taylor Swift used her massive social media following to promote a left-wing voter registration organization on election day. But the singer continues to remain silent on Hamas' massacre of Israelis more than a month after the October 7 slaughter.		
Taylor Swift Calls on Fans to Hit the Polls Ahead of Major Elections in Several States	Pop star Taylor Swift, the jet-setting climate change activist who endorses Democrats, attacks Republicans, and performs for Communist human rights abusing-China’s Singles Day, took to social media on Tuesday to encourage her fans in certain states to vote on…		
VIDEO: Broncos Troll Chiefs, Travis Kelce by Playing Taylor Swift Music After Upset Win	The Broncos trolled the Chiefs by playing Taylor Swift music after their upset win over Kansas City on Sunday.		
'We Want More Football!!!': Rob Gronkowski Says Networks Overdoing Taylor Swift Coverage	Former Super Bowl champ Rob Gronkowski think that broadcast network's should focus less on Taylor Swift and more on the players on the field.		
Google sues people who “weaponized” DMCA to remove rivals’ search results	Google says DMCA fraudsters filed copyright takedown notices for 600,000+ URLs.		
A remote worker explains why she stands by the controversial practice of working from movie theaters	A viral video of a remote worker using a movie theater as an office has divided viewers. But she stands by her take that it's a great place to work from.		
Naming a species after a celebrity may do more harm than good	Many species were named in honor of famous people and celebrities. But species names are difficult to change and may lead to nomenclatural regret.		
Far-right hosts are blaming the GOP's big election losses on Taylor Swift	Right-wing activist Jack Posobiec and commentator Charlie Kirk both blamed Taylor Swift's political power for electoral losses.		
Taylor Swift achieves billionaire status amid monumental Eras tour	According to a Bloomberg News Analysis published Thursday, Taylor Swift's net worth is $1.1 billion.		
Taylor Swift: Friend Cara Delevingne says Swift and Travis Kelce’s relationship is ‘very different’	Taylor Swift: Friend Cara Delevingne says Swift and Travis Kelce’s relationship is ‘very different’cnn.com		
Taylor Swift set to perform rescheduled Rio show after deadly heat | CNN	Taylor Swift will wrap up her “Eras Tour” concerts in Rio de Janeiro, Brazil on Monday, following a weekend of shows beset by dire heat and tragedy.		
Travis Kelce is ready to talk about dating Taylor Swift | CNN	There was a time when Travis Kelce wasn’t interested in talking about his personal life, but no more.		
The enduring allure of Louboutin’s red soles	In the 30 years since the inception of the brand’s red sole, Louboutin has perhaps done more than any other to transform a piece of footwear into an objet d’art.		
Taylor Swift postpones Eras Tour concert in Rio de Janeiro due to heat	Taylor Swift announced that her concert scheduled for Saturday in Rio de Janeiro, Brazil has been postponed due to high temperatures.		
Taylor Swift mourns fan who died before concert in Brazil | CNN	Taylor Swift fan died Friday night before the Eras Tour show in Rio De Janeiro, Brazil the singer said on Instagram.		
5 things to know for Nov. 17: Trump agenda, Israel, Safe schools, George Santos, Apple | CNN	5 things to know for Nov. 17: Trump agenda, Israel, Safe schools, George Santos, Apple | CNNcnn.com		
Travis Kelce apologizes to Taylor Swift’s dad | CNN	Remember when Travis Kelce said he was going to stick to talking about football and not his private life? Good thing for the Swifties it looks like he didn’t mean it.		
Taylor Swift ‘Dancing With the Stars’	Taylor Swift ‘Dancing With the Stars’cnn.com		
Travis Kelce sings on brother’s Christmas song | CNN	Travis Kelce sings on brother’s Christmas song | CNNcnn.com		
Taylor Swift concert postponement prompts airline to waive change fee | CNN	LATAM Airlines waived its change fees for customers who wanted to extend their stay in Buenos Aires, Argentina, after Taylor Swift postponed her concert there.		
Taylor Swift changes lyrics to ‘Karma’ in nod to ‘guy on the Chiefs’ Travis Kelce | CNN	Taylor Swift winked at her romance with Kansas City Chiefs’ tight end Travis Kelce during her “Eras Tour” concert in Buenos Aires, Argentina on Saturday when she changed the lyrics to a line in her hit song “Karma,” and Kelce was in the audience to catch it.		
Taylor Swift reschedules ‘Eras Tour’ performance	Taylor Swift reschedules ‘Eras Tour’ performancecnn.com		
Grammy nominations 2024: See the full list of nominees | CNN	Nominations for the 2024 Grammy Awards will be revealed on Friday morning.		
Americans say the economy stinks. But they’re spending like it’s great | CNN Business	There’s a conundrum that economists and political strategists have been chewing on for more than a year: The economy is good, but Americans say it’s lousy.		
5 things to know for Nov. 7: Trump trial, Israel, Presidential debate, Actors strike, Ukraine | CNN	5 things to know for Nov. 7: Trump trial, Israel, Presidential debate, Actors strike, Ukraine | CNNcnn.com		
Taylor Swift reporter hired at Gannett after viral job listing | CNN	Consider journalist Bryan West the “lucky one,” because he’s The Tennessean and USA Today network’s new Taylor Swift Reporter.		
Taylor Swift adds Brittany Mahomes to her squad | CNN	Taylor Swift adds Brittany Mahomes to her squad | CNNcnn.com		
Taylor Swift’s ‘1989 (Taylor’s Version)’ is her 13th album to hit No. 1 on Billboard charts	Taylor Swift continues to break records in her whirlwind year, with “1989 (Taylor’s Version)” hitting No. 1 on the Billboard 200 album charts. It’s the singer’s 13th No. 1 album.		
Taylor Swift and Beyoncé concert tours deliver record-breaking earnings for Live Nation	Live Nation has Taylor Swift and Beyoncé to thank for propelling the live concerts organizer to its strongest quarterly results to date.		
Ice Spice turns heads in Betty Boop Halloween costume	Ice Spice has shown the world what she’s working with in her latest Halloween costume — and she wasn’t afraid to let it all hang out.		
5 things to know for Oct. 27: Maine shootings, Israel, US strikes, Hurricane Otis, Presidential race | CNN	5 things to know for Oct. 27: Maine shootings, Israel, US strikes, Hurricane Otis, Presidential race | CNNcnn.com		
Taylor Swift releases ‘1989 (Taylor’s Version)’ | CNN	Straight out of your “wildest dreams,” Taylor Swift just dropped “1989 (Taylor’s Version).”		
Taylor Swift is now a billionaire, Bloomberg says | CNN Business	Taylor Swift has another accolade to add to her already impressive resume this year: America’s favorite pop star is now a billionaire, according to a Bloomberg analysis.		
5 things to know for Oct. 23: Israel, House speaker, Synagogue leader, Police shooting, Student loans	5 things to know for Oct. 23: Israel, House speaker, Synagogue leader, Police shooting, Student loanscnn.com		
Taylor Swift is still in her (Chiefs) Red era with latest appearance supporting Travis Kelce at football game | CNN	In a surprise to absolutely nobody, Taylor Swift was back in Kansas City on Sunday to support Travis Kelce at his football game.		
Why the latest temperature check on climate change is still terrifying	The United Nations Environment Programme (UNEP) released its latest estimates for future global warming ahead of climate change negotiations in Dubai.		
Do Pixel 8 AI-edited photos have to be labeled as synthetic content on YouTube? YouTube is still figuring it out.	The new Pixel 8 can swap facial expressions in photos using AI. YouTube’s new rules require labels on AI-generated content. What happens next?		
Taylor Swift fans used record amounts of data during the Eras Tour in North America	A staggering 29 terabytes of glitter moved through AT&T’s network during her stop in Arlington, Texas, and Swifties set data usage records almost everywhere else.		
Scarlett Johansson hits AI app with legal action for cloning her voice in an ad	Scarlett Johansson is taking legal action against an AI app developer for using her likeness in an online ad without her consent.		
Harvard professor Lawrence Lessig on why AI and social media are causing a free speech crisis for the internet	The internet policy legend is as worried as you’d think about AI and TikTok.		
'The View' hosts see red flags in Travis Kelce's Taylor Swift interview	'The View' hosts discussed the 'red flags' they saw in Travis Kelce's recent interview about dating Taylor Swift, and called the NFL star a 'palate cleanser' for the singer: 'What is he hiding?'		
Travis Kelce shares how Taylor Swift romance began	Travis Kelce shared details about how his love story with Taylor Swift began, revealing he had some help from her family members.		
Joy Behar doesn’t want Taylor Swift stuck with ‘idiot’ Travis Kelce	'The View' host Joy Behar doesn't want Taylor Swift to be 'stuck with this idiot' Travis Kelce after several of his posts making disparaging comments about women resurfaced online: 'He’s illiterate.'		
'The Marvels' has MCU's worst box office opening ever	'The Marvels' went lower, nearer, and slower with MCU's worst box office opening ever, grossing $47 million.		
Taylor Swift changes 'Karma' lyric for Travis Kelce at Eras concert	Taylor Swift shouted out Travis Kelce in a 'Karma' lyric change at a show in Argentina: 'Karma is the guy on the Chiefs, coming straight home to me.'		
'Mean Girls' movie musical trailer brings back the Plastics	The first-look trailer at the 'Mean Girls' movie musical sees the likes of Regina George, Cady Heron, Janis Ian, and more — now with more music.		
See NSYNC's troll transformation in 'Trolls Band Together'	The members of NSYNC are getting a sparkly troll transformation in 'Trolls Band Together' — here's your first look.		
'Big Brother' host Julie Chen Moonves teases 'Legends' season	'Big Brother' host Julie Chen Moonves teases that a possible winter 'Legends' season or celebrity edition could be in the works.		
'The Voice' adds Wynonna Judd as Mega Mentor for season 24	Country icon Wynonna Judd is joining 'The Voice' as a Mega Mentor for season 24.		
Five Nights at Freddy's debuts to $78 million	'Five Nights at Freddy's' tops the weekend box office with $78M, the biggest opening for a horror movie in 2023.		
'Taylor Swift: The Eras Tour' tops domestic box office for 2nd week	'Killers of the Flower Moon' eclipsed by 'Taylor Swift: The Eras Tour' domestically, but debuts at No. 1 globally.		
